0x3F,0x20
0x3F,0x21
0x3F,0x23
0x3F,0x24
0x3F,0x26
0x3E,0x27
0x3E,0x28
0x3D,0x2A
0x3D,0x2B
0x3C,0x2D
0x3C,0x2E
0x3B,0x2F
0x3A,0x30
0x39,0x31
0x38,0x33
0x37,0x34
0x36,0x35
0x35,0x36
0x34,0x37
0x33,0x38
0x32,0x38
0x30,0x39
0x2F,0x3A
0x2E,0x3A
0x2C,0x3B
0x2B,0x3C
0x2A,0x3C
0x28,0x3C
0x27,0x3D
0x25,0x3D
0x24,0x3D
0x22,0x3D
0x21,0x3D
0x01,0x3D
0x03,0x3D
0x04,0x3D
0x06,0x3D
0x07,0x3C
0x08,0x3C
0x0A,0x3C
0x0B,0x3B
0x0D,0x3A
0x0E,0x3A
0x0F,0x39
0x11,0x38
0x12,0x38
0x13,0x37
0x14,0x36
0x16,0x35
0x17,0x34
0x18,0x33
0x19,0x31
0x19,0x30
0x1A,0x2F
0x1B,0x2E
0x1C,0x2D
0x1C,0x2B
0x1D,0x2A
0x1E,0x28
0x1E,0x27
0x1E,0x26
0x1F,0x24
0x1F,0x23
0x1F,0x21
0x1F,0x20
0x1F,0x01
0x1F,0x03
0x1F,0x04
0x1F,0x06
0x1E,0x07
0x1E,0x08
0x1D,0x0A
0x1D,0x0B
0x1C,0x0D
0x1C,0x0E
0x1B,0x0F
0x1A,0x10
0x19,0x11
0x18,0x13
0x17,0x14
0x16,0x15
0x15,0x16
0x14,0x17
0x13,0x18
0x12,0x18
0x10,0x19
0x0F,0x1A
0x0E,0x1A
0x0C,0x1B
0x0B,0x1C
0x0A,0x1C
0x08,0x1C
0x07,0x1D
0x05,0x1D
0x04,0x1D
0x02,0x1D
0x01,0x1D
0x21,0x1D
0x23,0x1D
0x24,0x1D
0x26,0x1D
0x27,0x1C
0x28,0x1C
0x2A,0x1C
0x2B,0x1B
0x2D,0x1A
0x2E,0x1A
0x2F,0x19
0x31,0x18
0x32,0x18
0x33,0x17
0x34,0x16
0x36,0x15
0x37,0x14
0x38,0x13
0x39,0x11
0x39,0x10
0x3A,0x0F
0x3B,0x0E
0x3C,0x0D
0x3C,0x0B
0x3D,0x0A
0x3E,0x08
0x3E,0x07
0x3E,0x06
0x3F,0x04
0x3F,0x03
0x3F,0x01
